,Identifier,AUC_Values_Total,AUC_Values_peak1,AUC_Values_peak2,=(totalAUC-(0-60AUC+60-maxAUX))/totalAUC',peak1 cutoff distance (microns)
1,wt,1029163.771,39721.82614,989441.6202,0.00%,stim_peak1_cutoff <- 50
1,wt,196958.2811,38559.08712,158399.2658,0.00%,old_mCherry_peak1_cutoff <- 50
1,wt,260271.1551,45731.02894,214540.1901,0.00%,old_orai_peak1_cutoff <- 50
1,wt,931117.6137,27541.05115,903576.2596,0.00%,
1,wt,105413.6542,26833.6438,78580.01423,0.00%,serca_peak1_cutoff <- 70
1,wt,418305.0601,29666.55156,388639.2895,0.00%,sercamCherry_peak1_cutoff <- 70
1,wt,706175.698,54195.70621,651979.626,0.00%,
1,wt,730121.6221,45957.17709,684176.6589,0.00%,best2_peak1_cutoff <- 68
1,wt,585005.9308,35399.80217,549605.7067,0.00%,wt_peak1_cutoff <- 68
1,wt,461346.7492,24263.75312,437082.8923,0.00%,
1,wt,844396.788,25804.69853,818591.8336,0.04%,new_orai_peak1_cutoff <- 48
1,wt,232493.4073,24374.22356,208119.5929,0.00%,new_mCherry_peak1_cutoff <- 48
1,wt,159739.9054,21665.23722,138074.7647,0.00%,
2,old mCherry,629341.3277,27027.22234,602314.1324,0.00%,
2,old mCherry,607988.2324,33758.16006,574642.3214,0.07%,
2,old mCherry,238811.2646,54706.43447,184104.7555,0.00%,
2,old mCherry,208062.8283,37579.02721,170484.2923,0.00%,
2,old mCherry,422726.3634,25387.19977,397339.1637,0.02%,
2,old mCherry,1693967.067,35214.88035,1658745.272,0.00%,
2,old mCherry,88380.78229,30338.15801,58042.43472,0.00%,
2,old mCherry,1009197.842,28345.42673,980853.2061,0.00%,
2,old mCherry,171830.8858,38882.51812,132948.0458,0.00%,
2,old mCherry,82068.94263,33495.15757,48573.91969,0.00%,
2,old mCherry,112174.1317,23184.32713,88989.50162,0.02%,
3,new mCherry,40167.2938,6112.605663,34054.67383,0.00%,
3,new mCherry,29087.35176,4076.96968,25010.39954,0.00%,
3,new mCherry,36737.03128,7607.725532,29129.28147,0.00%,
3,new mCherry,30765.66787,5991.251452,24774.41398,0.00%,
3,new mCherry,35901.94572,3735.289186,32166.65372,0.00%,
3,new mCherry,39621.3419,5923.822373,33697.52481,0.00%,
3,new mCherry,26316.95033,3763.022476,22553.919,0.00%,
3,new mCherry,30273.03135,3901.502743,26371.52191,0.00%,
4,old orai,140288.6366,31680.25413,108602.1576,0.00%,
4,old orai,1441410.912,31602.97459,1409839.166,0.00%,
4,old orai,372808.139,41030.0043,331777.7231,0.00%,
4,old orai,158903.1814,32596.59339,126306.4392,0.00%,
4,old orai,1244443.494,36745.83238,1207697.951,0.00%,
5,new orai,102509.3617,3770.875983,98738.46273,0.00%,
5,new orai,160022.8238,3675.678692,156343.5243,0.00%,
5,new orai,174289.5528,3417.377457,170895.6127,0.01%,
5,new orai,269415.6336,3475.311164,265940.3205,0.00%,
5,new orai,65361.81233,2834.484633,62527.32197,0.00%,
5,new orai,39972.76599,2508.305428,37464.24331,0.00%,
6,stim,736774.5689,30773.46877,706001.4858,0.01%,
6,stim,1294270.384,38390.39659,1255784.385,0.01%,
6,stim,3075056.694,34649.05024,3040407.434,0.00%,
6,stim,858284.1784,42097.74441,816186.9445,0.02%,
6,stim,1291761.978,50201.55549,1241558.939,0.01%,
6,stim,1798685.579,44297.80122,1754323.882,0.00%,
6,stim,653615.5614,27746.85023,625862.6961,0.00%,
6,stim,822969.4442,38778.88335,784498.7547,0.04%,
6,stim,651323.2522,28240.39844,623082.5142,0.00%,
6,stim,431119.5986,47628.23373,383491.4213,0.00%,
7,best2,341462.9101,30966.25851,310496.8121,0.00%,
7,best2,505946.1332,28856.22246,477089.9293,0.00%,
7,best2,332263.6849,47211.14681,285052.7225,0.00%,
7,best2,200041.6346,18949.20188,181091.9098,0.00%,
7,best2,89602.91492,38284.32064,51318.61499,0.00%,
7,best2,552220.1231,32421.79711,519798.4201,0.00%,
7,best2,186395.3398,42232.16143,144163.2412,0.00%,
7,best2,589218.3583,28507.53889,560710.7326,0.00%,
7,best2,451658.6605,26544.97167,425113.7065,0.00%,
7,best2,520981.3596,33080.4278,487902.0018,0.00%,
7,best2,914527.4822,24950.8676,889576.0163,0.00%,
7,best2,147146.8401,28252.23532,118894.6413,0.00%,
7,best2,269583.0742,27899.08499,241683.9172,0.00%,
8,SERCA,138728.4038,51399.3861,87329.02729,0.00%,
8,SERCA,142825.7024,48170.90506,94654.79939,0.00%,
8,SERCA,105812.4361,37422.80912,68389.99962,0.00%,
8,SERCA,92005.7097,35317.04993,56688.64577,0.00%,
8,SERCA,109514.0378,38646.64986,70867.3713,0.00%,
8,SERCA,117894.2715,40849.24172,77045.01776,0.00%,
8,SERCA,101343.4483,36720.68811,64622.75364,0.00%,
8,SERCA,97421.43509,32597.23729,64824.25582,0.00%,
9,SERCA-mCherry,142366.9164,47449.80962,94917.10293,0.00%,
9,SERCA-mCherry,143507.8479,53048.10001,90459.75113,0.00%,
9,SERCA-mCherry,120203.0438,43529.82318,76673.16095,0.00%,
9,SERCA-mCherry,132961.5193,49224.57591,83736.95606,0.00%,
9,SERCA-mCherry,113929.7005,41866.27376,72063.41967,0.00%,
9,SERCA-mCherry,109027.8959,40306.8049,68721.05572,0.00%,
