POSITION,old_mCherry_avg_wd1,old_mCherry_avg_wd2,old_mCherry_avg_wd3,old_mCherry_avg_wd4,old_mCherry_avg_wd5,old_mCherry_avg_wd6,old_mCherry_avg_wd7,old_mCherry_avg_wd8,old_mCherry_avg_wd9,old_mCherry_avg_wd10,old_mCherry_avg_wd11,new_orai_avg_wd2,new_orai_avg_wd3,new_orai_avg_wd4,new_orai_avg_wd5,new_orai_avg_wd6,new_orai_avg_wd8,old_orai_avg_wd1,old_orai_avg_wd2,old_orai_avg_wd3,old_orai_avg_wd4,old_orai_avg_wd5,stim_avg_wd2,stim_avg_wd3,stim_avg_wd4,stim_avg_wd6,stim_avg_wd7,stim_avg_wd8,stim_avg_wd9,stim_avg_wd10,stim_avg_wd11,stim_avg_wd12,disc1-WT-Avg,disc2-WT-Avg,disc3-WT-Avg,disc4-WT-Avg,disc5-WT-Avg,disc6-WT-Avg,disc7-WT-Avg,disc8-WT-Avg,disc10-WT-Avg,disc11-WT-Avg,disc12-WT-Avg,disc13-WT-Avg,disc15-WT-Avg,disc1-Avg-Best2,disc3-Avg-Best2,disc4-Avg-Best2,disc5-Avg-Best2,disc6-Avg-Best2,disc7-Avg-Best2,disc8-Avg-Best2,disc9-Avg-Best2,disc10-Avg-Best2,disc11-Avg-Best2,disc12-Avg-Best2,disc13-Avg-Best2,disc14-Avg-Best2,new_mCherry_avg_wd2,new_mCherry_avg_wd5,new_mCherry_avg_wd6,new_mCherry_avg_wd7,new_mCherry_avg_wd8,new_mCherry_avg_wd9,new_mCherry_avg_wd10,new_mCherry_avg_wd11,SERCA_gray_avg_wd1,SERCA_gray_avg_wd2,SERCA_gray_avg_wd3,SERCA_gray_avg_wd4,SERCA_gray_avg_wd5,SERCA_gray_avg_wd6,SERCA_gray_avg_wd7,SERCA_gray_avg_wd8,SERCAmCherry_gray_avg_wd1,SERCAmCherry_gray_avg_wd2,SERCAmCherry_gray_avg_wd3,SERCAmCherry_gray_avg_wd5,SERCAmCherry_gray_avg_wd6,SERCAmCherry_gray_avg_wd8
0,0,0,0,0,0,0,0,0,0,0,0,70.79366667,72.16666667,37.171,64.04833333,23.45966667,56.46033333,3.34925,-8.059,-140.79625,58.716,31.8795,-202.3215,-108.20925,43.58925,-61.4295,265,103.59575,98.42025,-76.375,-54.473,92.399,-81.1635,34.2245,-135.4235,-184.3145,26.5,20.5,-127.5935,-44.6665,-47.095,-126,22.01,100,-56.1785,0,0,0,0,0,0,0,0,0,0,0,0,0,190.683,97.422,164.3383333,183.9143333,129.5426667,157.62,110.474,62.38766667,662.9996667,682.2916667,490.0833333,455.8333333,589.2293333,535,497.0833333,467.0833333,655.1666667,728.354,627.5833333,669.5,552.1666667,516.6456667
0.227,-16.1245,-46.97425,5.981,20.47175,8.25325,-59.39825,-14.33075,28.05375,-48.0215,-98.5395,28.5545,76.579,84.66666667,56.529,42.78233333,25.022,58.12633333,-46.40175,-47.10025,-112.8935,96.82975,-20.78375,-215.4805,-87.6355,50.533,-94.56075,242.25,74.3275,128.5075,-27.7325,-77.93225,106.976,-215.7315,-65.612,-157.7145,-167.68,69,-164,140.587,-80.0595,-106.6325,-89.5,-34.4865,45,-143.0305,82.2855,-25,29.7955,0.4455,-17.2655,21.7145,125.583,-48.022,-59,122.867,116.886,-46.281,-51.585,200.7223333,87.443,172.6023333,178.8406667,109.4846667,159.653,98.882,49.51366667,654.7723333,689.8903333,493.9463333,451.4736667,576.6973333,545.8103333,498.8823333,467.5866667,651.721,721.8706667,620.8366667,647.7393333,561.0033333,528.105
0.454,38.07125,42.691,11.533,10.47175,-65.059,-43.29525,5.5615,48.5345,-69.23175,-91.767,-58.13,86.17833333,66.33333333,48.21833333,48.26433333,33.14666667,56.30133333,-14.95725,-71.98325,-73.0995,-18.35525,14.3615,-231.68225,-141.058,66.423,-50.35125,261.75,105.5735,61.62925,-82.03425,-73.61425,56.399,-83.2025,-134.3875,-153.653,-119.095,-13.5,-132.5,76.971,-53.738,-78.233,-36.5,-30.636,33,-126.434,37.2755,-12,122.4215,-25.306,-18.3825,49.1565,129.2175,-71.937,-115,93.5915,66.973,-10.8065,-25.253,205.8073333,72.843,175.168,188.47,108.2073333,133.2576667,96.58766667,71.464,678.5093333,682.818,512.9836667,445.4996667,555.4603333,563.9486667,510.1273333,476.115,631.887,704.431,640.9243333,661.5256667,560.3143333,530.9186667
0.681,-35.335,104.30525,74.8305,-112.8485,57.2035,-20.29875,-66.3845,28.73625,-29.0715,-66.45375,-19.892,103.0156667,83,32.56233333,45.935,48.74466667,58.97433333,-93.2885,-51.09125,-50.20925,-21.07925,46.61275,-212.903,-34.2445,26.649,-13.47125,323.75,14.626,63.49875,-38.7595,-72.802,13.12625,-125.49,-182.7975,-152.762,-166.7145,24,10.5,120.944,-140.709,-102.52,-109,-4.3195,80,-174.439,82.9185,-25.5,62.9045,10.0785,-59.9355,36.973,84.6715,-23.4165,-269,64.687,159.8315,-47.619,-49.418,221.987,68.05566667,175.1476667,188.5946667,117.2836667,136.1113333,107.7636667,66.90466667,663.939,670.5583333,518.8456667,446.0716667,570.8116667,545.3516667,504.598,477.336,635.05,694.3036667,661.4903333,692.6713333,550.4746667,529.7603333
0.908,5.35175,51.485,85.68675,-97.36525,-27.5215,10.199,-33.826,-47.7805,-107.94675,-40.33825,-130.624,81.837,64.5,41.905,60.449,54.695,58.294,-51.9855,-56.26375,-79.54625,34.66225,57.945,-209.4495,-34.01225,-50.004,-54.3775,235,18.573,-20.47825,-12.129,-84.28175,33.12925,-177.053,-134.296,-98.99,-98.4915,30,-116,59.9985,-138.806,-123.1475,-97.5,2.6665,73,-147.66,115.745,-98,77.8365,-17.0935,-55.4115,40.097,-8.075,39.937,-209,56.68,125.391,8.697,-18.1885,216.7173333,71.481,203.1736667,176.7566667,105.4436667,119.305,94.221,90.82266667,646.0896667,665.1953333,522.484,451.4926667,613.6613333,530.4496667,501.4266667,480.9063333,662.0906667,684.824,651.516,683.57,548.4526667,520.6893333
1.135,59.48975,131.9365,101.154,-66.2195,34.46025,68.94325,-15.293,16.2765,-68.24675,-149.13925,-62.24425,50.889,69.83333333,52.25933333,61.92833333,44.46933333,86.061,-55.473,-3.94675,-120.104,-103.36425,95.16,-229.989,-74.937,-67.38875,-0.28025,239,-45.2145,-63.505,-48.0755,-113.91625,-10.88925,-97.6465,-145.102,-83.9115,-148.2825,12,-85.5,96.682,-97.0645,-123.51,-147,-33.9355,-2,-118.5035,62.5615,-96,71.2295,6.092,-48.7345,63.1975,72.403,-83.777,-256.5,100.2755,199.9135,-42.869,-28.2245,206.6436667,62.91933333,169.1413333,173.243,117.41,126.642,85.76933333,93.069,645.4203333,671.6983333,521.5186667,446.1893333,603.1656667,534.8986667,520.559,468.3873333,655.992,663.2146667,644.3753333,642.2336667,545.6333333,522.0883333
1.362,21.36075,129.905,58.938,-60.98075,94.8845,6.0565,39.48175,-58.552,-39.8745,-71.0205,-72.26175,69.78533333,63.16666667,52.31566667,64.806,33.85433333,72.66333333,-140.085,-143.914,-164.08825,-90.96725,90.0215,-265.093,-53.05475,78.73875,-30.1385,205,-42.83225,34.81275,-8.499,-10.991,16.5545,-138,-126.738,-114,-132.609,-3,-89,44.255,-77.755,-168.857,-74,-57.0135,12,-147.449,41.0375,-116,92.0205,-30.3145,-37.0325,11.5445,117.2005,-20.636,-139,31.469,72.643,0.665,-46.357,196.627,56.03666667,165.8796667,159.3046667,119.1086667,160.7666667,90.30266667,83.04966667,650.6726667,652.7233333,514.5293333,438.197,578.252,529.115,518.7056667,461.7063333,616.5976667,680.451,649.0693333,612.2263333,537.1956667,520.2643333
1.589,81.97625,36.362,34.4605,-90.84375,127.674,-6.27375,19.52325,-10.69225,-64.39025,-162.4955,-65.406,64.17033333,70.5,51.57466667,63.567,34.51766667,47.56233333,10.7635,-33.424,-128.54625,-175.79,111.02725,-270.6195,-102.046,47.036,-16.0785,266.25,39.09625,-1.91,-12.76025,-69.9515,43.57475,-63.6905,-201.859,-110.9285,-125.16,-3.5,-197,136.8725,-88.454,-88.7245,-165.5,3.1835,16.5,-124.473,-2.1465,-8,89.8215,11.718,7.1975,-22.9795,131.287,-26.1955,-179,129.801,186.177,-40.9915,-41.1325,198.4926667,103.287,197.6966667,161.386,113.141,140.1786667,100.375,79.425,669.9223333,657.774,506.755,438.6136667,588.7656667,527.608,510.245,480.8423333,623.546,693.875,650.168,631.344,533.528,544.0243333
1.816,5.77475,4.83475,44.706,-145.17525,56.6945,8.22175,-3.96,-42.40725,-46.096,-36.50575,-103.747,50.03566667,99.83333333,53.88066667,60.478,38.85766667,77.58266667,-34.25575,32.78375,-150.8675,-156.956,67.59025,-256.9175,17.3625,-41.56625,-0.87825,184,99.4405,30.1635,-14.77425,-77.3835,40.5,26.1375,-154.7345,-178.3385,-155,-46,-93,41.9675,-129.1055,-122.9145,-104,-24.9835,29,-224.053,79.6685,8.5,76.806,-77.777,15.2975,-26.143,138.568,-17.9865,-158,120.4795,29.5475,-23.255,-84.1255,191.479,115.8083333,197.574,182.085,113.1276667,136.4516667,106.5903333,78.502,675.7326667,689.1896667,505.0663333,435.568,598.324,533.951,503.8336667,472.4573333,661.7613333,677.66,637.0503333,656.7613333,548.594,555.7846667
2.043,5.3585,-33.90075,5.77725,-29.026,-36.8575,83.03725,5.6365,-33.5035,-95.8155,-68.327,-95.84475,60.246,84.66666667,69.63466667,54.12466667,38.173,81.015,25.5485,-79.032,-166.24425,-251.045,9.66,-291.874,-23.96875,111.83175,-13.89575,211.75,104.142,11.37825,18.6645,-22.73875,-44.8755,-115.2415,-125.4745,-149.4355,-172.4015,1,-77,131.454,-81.833,-133.9895,-64.5,-71.463,111,-182.806,23.728,-72,82.575,-7.6665,17.5645,99.371,1.7615,-65.1785,-236.5,-23.5615,122.7705,-9.1055,-35.0815,180.6846667,96.08233333,181.4186667,180.716,94.59033333,141.4613333,105.8243333,84.54666667,658.4076667,669.3496667,509.379,436.2956667,580.8283333,519.446,496.1473333,461.5606667,667.5803333,698.154,628.6476667,645.3156667,543.104,550.4046667
