POSITION,old_mCherry_avg_wd1,old_mCherry_avg_wd2,old_mCherry_avg_wd3,old_mCherry_avg_wd4,old_mCherry_avg_wd5,old_mCherry_avg_wd6,old_mCherry_avg_wd7,old_mCherry_avg_wd8,old_mCherry_avg_wd9,old_mCherry_avg_wd10,old_mCherry_avg_wd11,new_orai_avg_wd2,new_orai_avg_wd3,new_orai_avg_wd4,new_orai_avg_wd5,new_orai_avg_wd6,new_orai_avg_wd8,old_orai_avg_wd1,old_orai_avg_wd2,old_orai_avg_wd3,old_orai_avg_wd4,old_orai_avg_wd5,stim_avg_wd2,stim_avg_wd3,stim_avg_wd4,stim_avg_wd6,stim_avg_wd7,stim_avg_wd8,stim_avg_wd9,stim_avg_wd10,stim_avg_wd11,stim_avg_wd12,disc1-WT-Avg,disc2-WT-Avg,disc3-WT-Avg,disc4-WT-Avg,disc5-WT-Avg,disc6-WT-Avg,disc7-WT-Avg,disc8-WT-Avg,disc10-WT-Avg,disc11-WT-Avg,disc12-WT-Avg,disc13-WT-Avg,disc15-WT-Avg,disc1-Avg-Best2,disc3-Avg-Best2,disc4-Avg-Best2,disc5-Avg-Best2,disc6-Avg-Best2,disc7-Avg-Best2,disc8-Avg-Best2,disc9-Avg-Best2,disc10-Avg-Best2,disc11-Avg-Best2,disc12-Avg-Best2,disc13-Avg-Best2,disc14-Avg-Best2,new_mCherry_avg_wd2,new_mCherry_avg_wd5,new_mCherry_avg_wd6,new_mCherry_avg_wd7,new_mCherry_avg_wd8,new_mCherry_avg_wd9,new_mCherry_avg_wd10,new_mCherry_avg_wd11,SERCA_gray_avg_wd3,SERCA_gray_avg_wd4,SERCA_gray_avg_wd6,SERCA_gray_avg_wd7,SERCA_gray_avg_wd9,SERCA_gray_avg_wd10,SERCA_gray_avg_wd11,SERCA_gray_avg_wd12,SERCAmCherry_gray_avg_wd1,SERCAmCherry_gray_avg_wd4,SERCAmCherry_gray_avg_wd5,SERCAmCherry_gray_avg_wd6,SERCAmCherry_gray_avg_wd8,SERCAmCherry_gray_avg_wd9
0,0,0,0,0,0,0,0,0,0,0,0,70.8,72.2,37.2,64,23.5,56.5,3.3,-8.1,-140.8,58.7,31.9,-202.3,-108.2,43.6,-61.4,265,103.6,98.4,-76.4,-54.5,92.4,-81.2,34.2,-135.4,-184.3,26.5,20.5,-127.6,-44.7,-47.1,-126,22,100,-56.2,0,0,0,0,0,0,0,0,0,0,0,0,0,190.7,97.4,164.3,183.9,129.5,157.6,110.5,62.4,135.4,224.5,215.7,140.1,354.1,228.6,134.7,347.8,570.4,462.8,227.1,484.8,227.3,623.8
0.227,-16.1,-47,6,20.5,8.3,-59.4,-14.3,28.1,-48,-98.5,28.6,76.6,84.7,56.5,42.8,25,58.1,-46.4,-47.1,-112.9,96.8,-20.8,-215.5,-87.6,50.5,-94.6,242.3,74.3,128.5,-27.7,-77.9,107,-215.7,-65.6,-157.7,-167.7,69,-164,140.6,-80.1,-106.6,-89.5,-34.5,45,-143,82.3,-25,29.8,0.4,-17.3,21.7,125.6,-48,-59,122.9,116.9,-46.3,-51.6,200.7,87.4,172.6,178.8,109.5,159.7,98.9,49.5,789.8,436.2,315.2,387.4,490.8,793.2,423.9,513.7,793.9,1018.1,390.1,892.8,416.3,844.9
0.454,38.1,42.7,11.5,10.5,-65.1,-43.3,5.6,48.5,-69.2,-91.8,-58.1,86.2,66.3,48.2,48.3,33.1,56.3,-15,-72,-73.1,-18.4,14.4,-231.7,-141.1,66.4,-50.4,261.8,105.6,61.6,-82,-73.6,56.4,-83.2,-134.4,-153.7,-119.1,-13.5,-132.5,77,-53.7,-78.2,-36.5,-30.6,33,-126.4,37.3,-12,122.4,-25.3,-18.4,49.2,129.2,-71.9,-115,93.6,67,-10.8,-25.3,205.8,72.8,175.2,188.5,108.2,133.3,96.6,71.5,929.7,520.3,387.7,563.7,417.3,653,358,418.7,906.5,870.4,457.1,740.4,504.1,977.5
0.681,-35.3,104.3,74.8,-112.8,57.2,-20.3,-66.4,28.7,-29.1,-66.5,-19.9,103,83,32.6,45.9,48.7,59,-93.3,-51.1,-50.2,-21.1,46.6,-212.9,-34.2,26.6,-13.5,323.8,14.6,63.5,-38.8,-72.8,13.1,-125.5,-182.8,-152.8,-166.7,24,10.5,120.9,-140.7,-102.5,-109,-4.3,80,-174.4,82.9,-25.5,62.9,10.1,-59.9,37,84.7,-23.4,-269,64.7,159.8,-47.6,-49.4,222,68.1,175.1,188.6,117.3,136.1,107.8,66.9,692.6,791,540.9,563.2,290.1,644.1,389,499.3,1019,759,505.3,663.5,499.5,696.5
0.908,5.4,51.5,85.7,-97.4,-27.5,10.2,-33.8,-47.8,-107.9,-40.3,-130.6,81.8,64.5,41.9,60.4,54.7,58.3,-52,-56.3,-79.5,34.7,57.9,-209.4,-34,-50,-54.4,235,18.6,-20.5,-12.1,-84.3,33.1,-177.1,-134.3,-99,-98.5,30,-116,60,-138.8,-123.1,-97.5,2.7,73,-147.7,115.7,-98,77.8,-17.1,-55.4,40.1,-8.1,39.9,-209,56.7,125.4,8.7,-18.2,216.7,71.5,203.2,176.8,105.4,119.3,94.2,90.8,531.8,605.4,586.1,471.9,465.3,758.4,579.8,773.4,859.6,803.4,502.9,808.6,433,832.4
1.135,59.5,131.9,101.2,-66.2,34.5,68.9,-15.3,16.3,-68.2,-149.1,-62.2,50.9,69.8,52.3,61.9,44.5,86.1,-55.5,-3.9,-120.1,-103.4,95.2,-230,-74.9,-67.4,-0.3,239,-45.2,-63.5,-48.1,-113.9,-10.9,-97.6,-145.1,-83.9,-148.3,12,-85.5,96.7,-97.1,-123.5,-147,-33.9,-2,-118.5,62.6,-96,71.2,6.1,-48.7,63.2,72.4,-83.8,-256.5,100.3,199.9,-42.9,-28.2,206.6,62.9,169.1,173.2,117.4,126.6,85.8,93.1,623.1,561.1,541.5,469.3,357.2,541.2,625.6,723.5,848.4,1124.6,628.5,781.4,489.5,789.2
1.362,21.4,129.9,58.9,-61,94.9,6.1,39.5,-58.6,-39.9,-71,-72.3,69.8,63.2,52.3,64.8,33.9,72.7,-140.1,-143.9,-164.1,-91,90,-265.1,-53.1,78.7,-30.1,205,-42.8,34.8,-8.5,-11,16.6,-138,-126.7,-114,-132.6,-3,-89,44.3,-77.8,-168.9,-74,-57,12,-147.4,41,-116,92,-30.3,-37,11.5,117.2,-20.6,-139,31.5,72.6,0.7,-46.4,196.6,56,165.9,159.3,119.1,160.8,90.3,83,632.5,483.8,529,564.5,297.9,560.9,497.2,701.7,994.2,1139.7,661.2,708.9,451.7,1036
1.589,82,36.4,34.5,-90.8,127.7,-6.3,19.5,-10.7,-64.4,-162.5,-65.4,64.2,70.5,51.6,63.6,34.5,47.6,10.8,-33.4,-128.5,-175.8,111,-270.6,-102,47,-16.1,266.3,39.1,-1.9,-12.8,-70,43.6,-63.7,-201.9,-110.9,-125.2,-3.5,-197,136.9,-88.5,-88.7,-165.5,3.2,16.5,-124.5,-2.1,-8,89.8,11.7,7.2,-23,131.3,-26.2,-179,129.8,186.2,-41,-41.1,198.5,103.3,197.7,161.4,113.1,140.2,100.4,79.4,590.7,366.6,494.3,646.7,613.3,756.2,487.4,456,1021.1,862,510.9,626.6,482.1,1009.4
1.816,5.8,4.8,44.7,-145.2,56.7,8.2,-4,-42.4,-46.1,-36.5,-103.7,50,99.8,53.9,60.5,38.9,77.6,-34.3,32.8,-150.9,-157,67.6,-256.9,17.4,-41.6,-0.9,184,99.4,30.2,-14.8,-77.4,40.5,26.1,-154.7,-178.3,-155,-46,-93,42,-129.1,-122.9,-104,-25,29,-224.1,79.7,8.5,76.8,-77.8,15.3,-26.1,138.6,-18,-158,120.5,29.5,-23.3,-84.1,191.5,115.8,197.6,182.1,113.1,136.5,106.6,78.5,668.6,406.4,603.3,707.6,716.4,810.9,541.6,399.6,991.1,686.9,388,514.2,684.2,986.4
2.043,5.4,-33.9,5.8,-29,-36.9,83,5.6,-33.5,-95.8,-68.3,-95.8,60.2,84.7,69.6,54.1,38.2,81,25.5,-79,-166.2,-251,9.7,-291.9,-24,111.8,-13.9,211.8,104.1,11.4,18.7,-22.7,-44.9,-115.2,-125.5,-149.4,-172.4,1,-77,131.5,-81.8,-134,-64.5,-71.5,111,-182.8,23.7,-72,82.6,-7.7,17.6,99.4,1.8,-65.2,-236.5,-23.6,122.8,-9.1,-35.1,180.7,96.1,181.4,180.7,94.6,141.5,105.8,84.5,623,443.9,587.1,625.3,612.3,749.4,552.9,299.1,773.7,703.6,452.4,442,669.6,1110.1
