"","Identifier","AUC_Values"
"1","wt",1029163.77106102
"2","wt",196958.281084746
"3","wt",260271.155110888
"4","wt",931117.61370999
"5","wt",105413.654227006
"6","wt",418305.060055447
"7","wt",706175.697958265
"8","wt",730121.62214729
"9","wt",585005.930842516
"10","wt",461346.749226115
"11","wt",844396.788013409
"12","wt",232493.407324843
"13","wt",159739.905407799
"14","old mCherry",629341.327695882
"15","old mCherry",607988.232430865
"16","old mCherry",238811.264575277
"17","old mCherry",208062.828300615
"18","old mCherry",422726.363415193
"19","old mCherry",1693967.06657962
"20","old mCherry",88380.7822866326
"21","old mCherry",1009197.84163926
"22","old mCherry",171830.885813776
"23","old mCherry",82068.9426278538
"24","old mCherry",112174.131659161
"25","new mCherry",40167.2938021011
"26","new mCherry",29087.3517639347
"27","new mCherry",36737.031276801
"28","new mCherry",30765.6678719658
"29","new mCherry",35901.9457236221
"30","new mCherry",39621.3418957035
"31","new mCherry",26316.9503337704
"32","new mCherry",30273.0313490874
"33","old orai",140288.636629433
"34","old orai",1441410.91154849
"35","old orai",372808.139031166
"36","old orai",158903.18138182
"37","old orai",1244443.49406345
"38","new orai",102509.361667648
"39","new orai",160022.823769493
"40","new orai",174289.552812224
"41","new orai",269415.633572929
"42","new orai",65361.8123310341
"43","new orai",39972.7659933671
"44","stim",736774.568946087
"45","stim",1294270.38387274
"46","stim",3075056.69376143
"47","stim",858284.178396972
"48","stim",1291761.97816146
"49","stim",1798685.57885399
"50","stim",653615.56135672
"51","stim",822969.444216178
"52","stim",651323.252247168
"53","stim",431119.59860431
"54","best2",341462.910104448
"55","best2",505946.133188034
"56","best2",332263.68491912
"57","best2",200041.634609243
"58","best2",89602.914918091
"59","best2",552220.123114634
"60","best2",186395.33976805
"61","best2",589218.358281977
"62","best2",451658.660455657
"63","best2",520981.359631458
"64","best2",914527.482231496
"65","best2",147146.840066239
"66","best2",269583.07420028
