Distance_(microns),SERCA_gray_avg_wd1,SERCA_gray_avg_wd2,SERCA_gray_avg_wd3,SERCA_gray_avg_wd4,SERCA_gray_avg_wd5,SERCA_gray_avg_wd6,SERCA_gray_avg_wd7,SERCA_gray_avg_wd8,SERCAmCherry_gray_avg_wd1,SERCAmCherry_gray_avg_wd2,SERCAmCherry_gray_avg_wd3,SERCAmCherry_gray_avg_wd5,SERCAmCherry_gray_avg_wd6,SERCAmCherry_gray_avg_wd8
0,662.9996667,682.2916667,490.0833333,455.8333333,589.2293333,535,497.0833333,467.0833333,655.1666667,728.354,627.5833333,669.5,552.1666667,516.6456667
0.227,654.7723333,689.8903333,493.9463333,451.4736667,576.6973333,545.8103333,498.8823333,467.5866667,651.721,721.8706667,620.8366667,647.7393333,561.0033333,528.105
0.454,678.5093333,682.818,512.9836667,445.4996667,555.4603333,563.9486667,510.1273333,476.115,631.887,704.431,640.9243333,661.5256667,560.3143333,530.9186667
0.681,663.939,670.5583333,518.8456667,446.0716667,570.8116667,545.3516667,504.598,477.336,635.05,694.3036667,661.4903333,692.6713333,550.4746667,529.7603333
0.908,646.0896667,665.1953333,522.484,451.4926667,613.6613333,530.4496667,501.4266667,480.9063333,662.0906667,684.824,651.516,683.57,548.4526667,520.6893333
1.135,645.4203333,671.6983333,521.5186667,446.1893333,603.1656667,534.8986667,520.559,468.3873333,655.992,663.2146667,644.3753333,642.2336667,545.6333333,522.0883333
1.362,650.6726667,652.7233333,514.5293333,438.197,578.252,529.115,518.7056667,461.7063333,616.5976667,680.451,649.0693333,612.2263333,537.1956667,520.2643333
1.589,669.9223333,657.774,506.755,438.6136667,588.7656667,527.608,510.245,480.8423333,623.546,693.875,650.168,631.344,533.528,544.0243333
1.816,675.7326667,689.1896667,505.0663333,435.568,598.324,533.951,503.8336667,472.4573333,661.7613333,677.66,637.0503333,656.7613333,548.594,555.7846667
2.043,658.4076667,669.3496667,509.379,436.2956667,580.8283333,519.446,496.1473333,461.5606667,667.5803333,698.154,628.6476667,645.3156667,543.104,550.4046667
2.27,648.188,671.3233333,510.3236667,432.015,607.2033333,523.0803333,491.902,470.2656667,625.9593333,713.271,638.6256667,627.196,529.0276667,551.9706667
2.497,654.967,683.429,514.6646667,422.5416667,596.513,539.6996667,483.206,492.3423333,602.7436667,729.5156667,633.9446667,626.457,549.5443333,532.369
2.724,650.3616667,672.664,504.9173333,432.144,575.106,537.9056667,482.044,508.2116667,608.7213333,729.3763333,621.9973333,673.786,555.1906667,533.5446667
2.951,642.3753333,665.9163333,493.8903333,453.1933333,590.4516667,538.8393333,488.3923333,498.8333333,630.6866667,709.855,626.203,689.1786667,550.2263333,533.611
3.178,637.1566667,680.4576667,498.9876667,468.303,562.77,546.8866667,484.3873333,483.599,637.052,706.0063333,628.903,658.8166667,542.9323333,546.062
3.405,660.621,732.73,492.2273333,464.9543333,586.4173333,534.671,490.353,507.334,639.7603333,696.2633333,623.9186667,630.917,533.763,532.047
3.632,662.6873333,716.2113333,487.2596667,452.1743333,595.0603333,526.1726667,495.912,518.0486667,652.9116667,695.775,616.577,649.347,550.8633333,548.4303333
3.859,644.174,715.9876667,500.703,442.8486667,613.074,511.601,491.5,495.262,642.1523333,701.74,615.359,648.738,560.632,529.7413333
4.086,654.4906667,685.4453333,514.308,448.5303333,595.1993333,502.5383333,492.3333333,495.0266667,639.8206667,720.955,613.8353333,653.894,544.2016667,535.2316667
4.313,673.2953333,669.4566667,500.7856667,462.428,586.4236667,542.6553333,497.1963333,491.5856667,635.7006667,717.083,624.2883333,653.603,539.5503333,531.7263333
4.54,660.1556667,664.8013333,493.9243333,465.5,567.9813333,543.2846667,505.3386667,472.3556667,627.1303333,729.4476667,633.6006667,604.653,547.5123333,544.546
4.767,652.9133333,657.081,493.841,445.7913333,570.3893333,528.509,516.0393333,465.349,617.7893333,731.9323333,641.8726667,619.338,555.2546667,509.8726667
4.994,642.9353333,683.4273333,489.31,428.5,588.849,525.837,517.3383333,481.3453333,626.4446667,734.9413333,638.658,625.873,556.2456667,523.4683333
5.221,666.322,687.6993333,483.1733333,431.7423333,588.469,529.4406667,521.245,505.817,632.7696667,718.539,628.9573333,607.4793333,547.5646667,549.46
5.448,667.1173333,682.719,492.944,429.6816667,583.32,521.606,519.5536667,500.6423333,628.3826667,734.7496667,632.3903333,627.302,541.6386667,531.8506667
5.675,654.8376667,672.81,520.2493333,426.4963333,603.826,522.7486667,519.539,488.2303333,646.7596667,784.788,637.109,638.7563333,555.2833333,529.1
5.902,643.355,673.4033333,513.6636667,436.121,586.8803333,538.0376667,510.4216667,493.4993333,653.521,745.282,645.7286667,628.0756667,573.4463333,531.1896667
