,Identifier,AUC_Values_Total,AUC_Values_peak1,AUC_Values_peak2,=(totalAUC-(0-60AUC+60-maxAUX))/totalAUC',peak1 cutoff distance (microns)
1,wt,1029163.771,39721.82614,989441.6202,0.00E+00,stim_peak1_cutoff <- 50
1,wt,196958.2811,38559.08712,158399.2658,0.00%,old_mCherry_peak1_cutoff <- 50
1,wt,260271.1551,45731.02894,214540.1901,0.00%,old_orai_peak1_cutoff <- 50
1,wt,931117.6137,27541.05115,903576.2596,0.00%,
1,wt,105413.6542,26833.6438,78580.01423,0.00%,serca_peak1_cutoff <- 70
1,wt,418305.0601,29666.55156,388639.2895,0.00%,sercamCherry_peak1_cutoff <- 70
1,wt,706175.698,54195.70621,651979.626,0.00%,
1,wt,730121.6221,45957.17709,684176.6589,0.00%,best2_peak1_cutoff <- 68
1,wt,585005.9308,35399.80217,549605.7067,0.00%,wt_peak1_cutoff <- 68
1,wt,461346.7492,24263.75312,437082.8923,0.00%,
1,wt,844396.788,25804.69853,818591.8336,0.04%,new_orai_peak1_cutoff <- 48
1,wt,232493.4073,24374.22356,208119.5929,0.00%,new_mCherry_peak1_cutoff <- 48
1,wt,159739.9054,21665.23722,138074.7647,0.00%,
2,old mCherry,629341.3277,27027.22234,602314.1324,0.00%,
2,old mCherry,607988.2324,33758.16006,574642.3214,0.07%,
2,old mCherry,238811.2646,54706.43447,184104.7555,0.00%,
2,old mCherry,208062.8283,37579.02721,170484.2923,0.00%,
2,old mCherry,422726.3634,25387.19977,397339.1637,0.02%,
2,old mCherry,1693967.067,35214.88035,1658745.272,0.00%,
2,old mCherry,88380.78229,30338.15801,58042.43472,0.00%,
2,old mCherry,1009197.842,28345.42673,980853.2061,0.00%,
2,old mCherry,171830.8858,38882.51812,132948.0458,0.00%,
2,old mCherry,82068.94263,33495.15757,48573.91969,0.00%,
2,old mCherry,112174.1317,23184.32713,88989.50162,0.02%,
3,new mCherry,40167.2938,6112.605663,34054.67383,0.00%,
3,new mCherry,29087.35176,4076.96968,25010.39954,0.00%,
3,new mCherry,36737.03128,7607.725532,29129.28147,0.00%,
3,new mCherry,30765.66787,5991.251452,24774.41398,0.00%,
3,new mCherry,35901.94572,3735.289186,32166.65372,0.00%,
3,new mCherry,39621.3419,5923.822373,33697.52481,0.00%,
3,new mCherry,26316.95033,3763.022476,22553.919,0.00%,
3,new mCherry,30273.03135,3901.502743,26371.52191,0.00%,
4,old orai,140288.6366,31680.25413,108602.1576,0.00%,
4,old orai,1441410.912,31602.97459,1409839.166,0.00%,
4,old orai,372808.139,41030.0043,331777.7231,0.00%,
4,old orai,158903.1814,32596.59339,126306.4392,0.00%,
4,old orai,1244443.494,36745.83238,1207697.951,0.00%,
5,new orai,102509.3617,3770.875983,98738.46273,0.00%,
5,new orai,160022.8238,3675.678692,156343.5243,0.00%,
5,new orai,174289.5528,3417.377457,170895.6127,0.01%,
5,new orai,269415.6336,3475.311164,265940.3205,0.00%,
5,new orai,65361.81233,2834.484633,62527.32197,0.00%,
5,new orai,39972.76599,2508.305428,37464.24331,0.00%,
6,stim,736774.5689,30773.46877,706001.4858,0.01%,
6,stim,1294270.384,38390.39659,1255784.385,0.01%,
6,stim,3075056.694,34649.05024,3040407.434,0.00%,
6,stim,858284.1784,42097.74441,816186.9445,0.02%,
6,stim,1291761.978,50201.55549,1241558.939,0.01%,
6,stim,1798685.579,44297.80122,1754323.882,0.00%,
6,stim,653615.5614,27746.85023,625862.6961,0.00%,
6,stim,822969.4442,38778.88335,784498.7547,0.04%,
6,stim,651323.2522,28240.39844,623082.5142,0.00%,
6,stim,431119.5986,47628.23373,383491.4213,0.00%,
7,best2,341462.9101,30966.25851,310496.8121,0.00%,
7,best2,505946.1332,28856.22246,477089.9293,0.00%,
7,best2,332263.6849,47211.14681,285052.7225,0.00%,
7,best2,200041.6346,18949.20188,181091.9098,0.00%,
7,best2,89602.91492,38284.32064,51318.61499,0.00%,
7,best2,552220.1231,32421.79711,519798.4201,0.00%,
7,best2,186395.3398,42232.16143,144163.2412,0.00%,
7,best2,589218.3583,28507.53889,560710.7326,0.00%,
7,best2,451658.6605,26544.97167,425113.7065,0.00%,
7,best2,520981.3596,33080.4278,487902.0018,0.00%,
7,best2,914527.4822,24950.8676,889576.0163,0.00%,
7,best2,147146.8401,28252.23532,118894.6413,0.00%,
7,best2,269583.0742,27899.08499,241683.9172,0.00%,
8,SERCA,21714857.48,957738.5718,20757124.41,0.00%,
8,SERCA,6519323.828,325334.2092,6193989.379,0.00%,
8,SERCA,3072240.195,164469.0944,2907771.076,0.00%,
8,SERCA,7036069.639,319087.7045,6716981.366,0.00%,
8,SERCA,18349676.12,836093.6585,17513111.53,0.00%,
8,SERCA-mCherry,25909709.7,1159876.034,24749839.9,0.00%,
8,SERCA-mCherry,14103916.67,647841.1685,13456077.26,0.00%,
8,SERCA-mCherry,23026096.19,1021021.9,22004920.58,0.00%,
9,SERCA-mCherry,14798374.89,669454.56,14128918.54,0.00%,
9,SERCA-mCherry,23341262.75,1034149.381,22307111.81,0.00%,
