,Identifier,AUC_Values_Total,AUC_Values_peak1,AUC_Values_peak2,Non-Absolute AUC_Values_Total,Non-Absolute AUC_Values_peak1,Non-Absolute AUC_Values_peak2,peak1 cutoff distance (microns)
1,wt,1029163.771,39721.82614,989441.6202,-864914.7922,38005.98197,-902920.8345,stim_peak1_cutoff <- 50
1,wt,196958.2811,38559.08712,158399.2658,193372.9053,34973.71359,158399.2658,old_mCherry_peak1_cutoff <- 50
1,wt,260271.1551,45731.02894,214540.1901,258515.3263,43975.27946,214540.1901,old_orai_peak1_cutoff <- 50
1,wt,931117.6137,27541.05115,903576.2596,-816603.4854,24599.07509,-841202.5363,
1,wt,105413.6542,26833.6438,78580.01423,-13645.7718,26424.82019,-40070.58942,serca_peak1_cutoff <- 85
1,wt,418305.0601,29666.55156,388639.2895,416373.9939,27790.66736,388583.1129,sercamCherry_peak1_cutoff <- 85
1,wt,706175.698,54195.70621,651979.626,-496806.0043,54185.69686,-550991.8814,
1,wt,730121.6221,45957.17709,684176.6589,-560443.9618,44957.71098,-605401.4625,best2_peak1_cutoff <- 68
1,wt,585005.9308,35399.80217,549605.7067,-450983.1257,33339.21179,-484322.5474,wt_peak1_cutoff <- 68
1,wt,461346.7492,24263.75312,437082.8923,448862.5022,21330.6512,427531.8387,
1,wt,844396.788,25804.69853,818591.8336,843963.033,25378.47454,818584.6169,new_orai_peak1_cutoff <- 48
1,wt,232493.4073,24374.22356,208119.5929,-135864.6581,24072.36196,-159937.023,new_mCherry_peak1_cutoff <- 48
1,wt,159739.9054,21665.23722,138074.7647,154563.4789,16605.16088,137958.3354,
2,old mCherry,629341.3277,27027.22234,602314.1324,-498444.1178,26942.62801,-525386.6492,
2,old mCherry,607988.2324,33758.16006,574642.3214,-452186.9896,31780.69255,-483970.9955,
2,old mCherry,238811.2646,54706.43447,184104.7555,238811.2646,54706.43447,184104.7555,
2,old mCherry,208062.8283,37579.02721,170484.2923,-64939.70394,33535.30154,-98475.00446,
2,old mCherry,422726.3634,25387.19977,397339.1637,408990.6176,15526.13158,393464.4171,
2,old mCherry,1693967.067,35214.88035,1658745.272,-1546927.426,35139.17976,-1582111.283,
2,old mCherry,88380.78229,30338.15801,58042.43472,87558.07078,30255.61571,57302.39352,
2,old mCherry,1009197.842,28345.42673,980853.2061,1008888.752,28036.27748,980853.2061,
2,old mCherry,171830.8858,38882.51812,132948.0458,17756.1511,36273.8003,-18517.67354,
2,old mCherry,82068.94263,33495.15757,48573.91969,73772.79432,31720.25914,42052.43981,
2,old mCherry,112174.1317,23184.32713,88989.50162,-17949.71547,19449.62114,-37399.33896,
3,new mCherry,40167.2938,6112.605663,34054.67383,40167.2938,6112.605663,34054.67383,
3,new mCherry,29087.35176,4076.96968,25010.39954,29087.35176,4076.96968,25010.39954,
3,new mCherry,36737.03128,7607.725532,29129.28147,36737.03128,7607.725532,29129.28147,
3,new mCherry,30765.66787,5991.251452,24774.41398,30765.66787,5991.251452,24774.41398,
3,new mCherry,35901.94572,3735.289186,32166.65372,35901.94572,3735.289186,32166.65372,
3,new mCherry,39621.3419,5923.822373,33697.52481,39621.3419,5923.822373,33697.52481,
3,new mCherry,26316.95033,3763.022476,22553.919,26316.95033,3763.022476,22553.919,
