"","Identifier_peak1","AUC_Values_peak1"
"1","wt",39721.8261439253
"2","wt",38559.0871177485
"3","wt",45731.028936887
"4","wt",27541.051154754
"5","wt",26833.6437993404
"6","wt",29666.5515593264
"7","wt",54195.7062065825
"8","wt",45957.1770886152
"9","wt",35399.8021707946
"10","wt",24263.7531244181
"11","wt",25804.6985332579
"12","wt",24374.2235559066
"13","wt",21665.2372210275
"14","old mCherry",27027.2223389342
"15","old mCherry",33758.1600550783
"16","old mCherry",54706.4344746128
"17","old mCherry",37579.0272086825
"18","old mCherry",25387.199773915
"19","old mCherry",35214.8803460166
"20","old mCherry",30338.1580110595
"21","old mCherry",28345.42672554
"22","old mCherry",38882.5181160584
"23","old mCherry",33495.1575711303
"24","old mCherry",23184.3271283555
"25","new mCherry",6112.60566337378
"26","new mCherry",4076.96967981719
"27","new mCherry",7607.72553171717
"28","new mCherry",5991.25145159773
"29","new mCherry",3735.28918567082
"30","new mCherry",5923.82237265188
"31","new mCherry",3763.02247648281
"32","new mCherry",3901.50274320649
"33","old orai",31680.2541267958
"34","old orai",31602.9745913562
"35","old orai",41030.0043043088
"36","old orai",32596.5933873749
"37","old orai",36745.8323841628
"38","new orai",3770.87598308088
"39","new orai",3675.67869176024
"40","new orai",3417.37745747046
"41","new orai",3475.31116365636
"42","new orai",2834.4846332184
"43","new orai",2508.30542754141
"44","stim",30773.4687656612
"45","stim",38390.3965946323
"46","stim",34649.050242068
"47","stim",42097.7444148497
"48","stim",50201.5554895792
"49","stim",44297.8012174635
"50","stim",27746.85023296
"51","stim",38778.8833479979
"52","stim",28240.3984432227
"53","stim",47628.2337304063
"54","best2",30966.2585077638
"55","best2",28856.2224555706
"56","best2",47211.146813783
"57","best2",18949.2018780721
"58","best2",38284.3206442521
"59","best2",32421.7971111484
"60","best2",42232.161433781
"61","best2",28507.5388865356
"62","best2",26544.9716651233
"63","best2",33080.4278040047
"64","best2",24950.8676037086
"65","best2",28252.2353158866
"66","best2",27899.0849857712
"67","SERCA",957738.571811847
"68","SERCA",325334.209212892
"69","SERCA",164469.094392974
"70","SERCA",319087.704542232
"71","SERCA",836093.658459196
"72","SERCA-mCherry",1159876.03437753
"73","SERCA-mCherry",647841.168481975
"74","SERCA-mCherry",1021021.90002161
"75","SERCA-mCherry",669454.559961967
"76","SERCA-mCherry",1034149.38085405
