"","Identifier","AUC_Values"
"1","wt",82947.5613824368
"2","wt",91911.4218393153
"3","wt",98781.7887921309
"4","wt",58727.8665744069
"5","wt",46083.4467579331
"6","wt",54218.2449914785
"7","wt",104585.190095675
"8","wt",85478.4948439602
"9","wt",68039.8503022639
"10","wt",45822.8788562628
"11","wt",51769.8406564812
"12","wt",48458.574473112
"13","wt",40298.1605301077
"14","old mCherry",65431.9827152692
"15","old mCherry",79166.5752805208
"16","old mCherry",0
"17","old mCherry",0
"18","old mCherry",0
"19","old mCherry",0
"20","old mCherry",0
"21","old mCherry",0
"22","old mCherry",0
"23","old mCherry",0
"24","old mCherry",0
"25","new mCherry",39340.0514695797
"26","new mCherry",28324.4223781014
"27","new mCherry",35994.6916468578
"28","new mCherry",30169.1284127769
"29","new mCherry",34681.9308266478
"30","new mCherry",38897.155558094
"31","new mCherry",25488.6143175477
"32","new mCherry",29095.2556068133
"33","old orai",65009.8442090897
"34","old orai",0
"35","old orai",0
"36","old orai",0
"37","old orai",0
"38","new orai",14526.683242955
"39","new orai",19019.6322165022
"40","new orai",13605.442703226
"41","new orai",14178.1671561365
"42","new orai",10350.5369637893
"43","new orai",10814.2106272102
"44","stim",60949.8938921849
"45","stim",84099.0387969592
"46","stim",86846.1071797868
"47","stim",108547.656248037
"48","stim",126006.258437324
"49","stim",94456.1774949179
"50","stim",61783.2189870603
"51","stim",0
"52","stim",0
"53","stim",0
"54","best2",68804.037734979
"55","best2",66804.9149897706
"56","best2",90071.1673586649
"57","best2",39051.2453628526
"58","best2",76173.8760127739
"59","best2",0
"60","best2",0
"61","best2",0
"62","best2",0
"63","best2",0
"64","best2",0
"65","best2",0
"66","best2",0
"67","SERCA",325890.895550251
"68","SERCA",282091.527771985
"69","SERCA",220852.027520218
"70","SERCA",174035.613346761
"71","SERCA",218462.641430376
"72","SERCA",343519.413172947
"73","SERCA",161276.279518641
"74","SERCA",253414.079890121
"75","SERCA-mCherry",371943.293787142
"76","SERCA-mCherry",277467.063538199
"77","SERCA-mCherry",138412.800474496
"78","SERCA-mCherry",257637.68095713
"79","SERCA-mCherry",198714.493026416
"80","SERCA-mCherry",278463.176669694
