"","Identifier_non_abs","AUC_Values_non_abs"
"1","wt_non_abs",81232.5202247665
"2","wt_non_abs",88326.3236337954
"3","wt_non_abs",97026.3137574431
"4","wt_non_abs",55785.6259380976
"5","wt_non_abs",45635.6115252409
"6","wt_non_abs",52285.7011031737
"7","wt_non_abs",104575.033963315
"8","wt_non_abs",84198.8304400626
"9","wt_non_abs",65979.1010621912
"10","wt_non_abs",33384.6318111674
"11","wt_non_abs",51336.3031925827
"12","wt_non_abs",48156.7063909684
"13","wt_non_abs",35143.7117381384
"14","old mCherry_non_abs",65347.4273106345
"15","old mCherry_non_abs",77189.1651100625
"16","old mCherry_non_abs",0
"17","old mCherry_non_abs",0
"18","old mCherry_non_abs",0
"19","old mCherry_non_abs",0
"20","old mCherry_non_abs",0
"21","old mCherry_non_abs",0
"22","old mCherry_non_abs",0
"23","old mCherry_non_abs",0
"24","old mCherry_non_abs",0
"25","new mCherry_non_abs",39340.0514695797
"26","new mCherry_non_abs",28324.4223781014
"27","new mCherry_non_abs",35994.6916468578
"28","new mCherry_non_abs",30169.1284127769
"29","new mCherry_non_abs",34681.9308266478
"30","new mCherry_non_abs",38897.155558094
"31","new mCherry_non_abs",25488.6143175477
"32","new mCherry_non_abs",29095.2556068133
"33","old orai_non_abs",32761.7559620711
"34","old orai_non_abs",0
"35","old orai_non_abs",0
"36","old orai_non_abs",0
"37","old orai_non_abs",0
"38","new orai_non_abs",14526.683242955
"39","new orai_non_abs",19019.6322165022
"40","new orai_non_abs",13605.442703226
"41","new orai_non_abs",14178.1671561365
"42","new orai_non_abs",10350.5369637893
"43","new orai_non_abs",10814.2106272102
"44","stim_non_abs",45169.4229058594
"45","stim_non_abs",78849.3082107557
"46","stim_non_abs",86620.3514247605
"47","stim_non_abs",106589.049564483
"48","stim_non_abs",126006.258437324
"49","stim_non_abs",82691.2718773346
"50","stim_non_abs",11705.154408361
"51","stim_non_abs",0
"52","stim_non_abs",0
"53","stim_non_abs",0
"54","best2_non_abs",68803.5648698914
"55","best2_non_abs",65275.4542086977
"56","best2_non_abs",90071.062621258
"57","best2_non_abs",38900.8606802388
"58","best2_non_abs",76057.3983627756
"59","best2_non_abs",0
"60","best2_non_abs",0
"61","best2_non_abs",0
"62","best2_non_abs",0
"63","best2_non_abs",0
"64","best2_non_abs",0
"65","best2_non_abs",0
"66","best2_non_abs",0
"67","SERCA_non_abs",325890.895550251
"68","SERCA_non_abs",269439.449558183
"69","SERCA_non_abs",220852.027520218
"70","SERCA_non_abs",174035.613346761
"71","SERCA_non_abs",218303.37145516
"72","SERCA_non_abs",343519.413172947
"73","SERCA_non_abs",159839.089074303
"74","SERCA_non_abs",253413.998931688
"75","SERCA-mCherry_non_abs",371943.293787142
"76","SERCA-mCherry_non_abs",277467.063538199
"77","SERCA-mCherry_non_abs",135901.855090305
"78","SERCA-mCherry_non_abs",257637.68095713
"79","SERCA-mCherry_non_abs",198714.493026416
"80","SERCA-mCherry_non_abs",278463.176669694
