,Identifier,AUC_Values_Total,AUC_Values_peak1,AUC_Values_peak2,=(totalAUC-(0-60AUC+60-maxAUX))/totalAUC',peak1 cutoff distance (microns),
1,wt,1029163.771,25298.81184,1003864.234,0.0000%,> stim_peak1_cutoff <- 48,
1,wt,196958.2811,23504.41734,173453.9464,0.0000%,> new_orai_peak1_cutoff <- 46,
1,wt,260271.1551,29073.15199,231198.1801,0.0000%,> old_orai_peak1_cutoff <- 46,
1,wt,931117.6137,18983.07086,912134.0734,0.0000%,> serca_peak1_cutoff <- 70,
1,wt,105413.6542,18202.46867,87211.19063,0.0000%,> sercamCherry_peak1_cutoff <- 70,
1,wt,418305.0601,20599.0032,397707.6155,0.0000%,> wt_peak1_cutoff <- 50,
1,wt,706175.698,36926.25916,669249.3387,0.0000%,> best2_peak1_cutoff <- 70,
1,wt,730121.6221,27276.28209,702843.9534,0.0000%,> old_mCherry_peak1_cutoff <- 46,
1,wt,585005.9308,21968.30922,563037.9174,0.0000%,> new_mCherry_peak1_cutoff <- 46,
1,wt,461346.7492,17375.66804,443970.8288,0.0000%,,
1,wt,844396.788,16293.36764,828103.9721,0.0400%,,
1,wt,232493.4073,14693.19324,217800.3788,0.0000%,,
1,wt,159739.9054,13128.96154,146610.9278,0.0000%,,
2,old mCherry,629341.3277,24136.00756,605204.9968,0.0000%,,
2,old mCherry,607988.2324,29182.56548,579216.7317,0.0700%,,
2,old mCherry,238811.2646,47235.5388,191575.9852,0.0000%,,
2,old mCherry,208062.8283,33200.88887,174861.7878,0.0000%,,
2,old mCherry,422726.3634,22738.46462,399987.5103,0.0200%,,
2,old mCherry,1693967.067,30795.06213,1663171.189,0.0000%,,
2,old mCherry,88380.78229,27404.26374,60976.24443,0.0000%,,
2,old mCherry,1009197.842,25404.16892,983793.756,0.0000%,,
2,old mCherry,171830.8858,32839.18731,138991.3938,0.0000%,,
2,old mCherry,82068.94263,30047.98368,52021.01268,0.0000%,,
2,old mCherry,112174.1317,20549.22947,91624.39198,0.0200%,,
3,new mCherry,40167.2938,5890.313735,34276.98203,0.0000%,,
3,new mCherry,29087.35176,3899.688947,25187.66677,0.0000%,,
3,new mCherry,36737.03128,7262.399869,29474.62419,0.0000%,,
3,new mCherry,30765.66787,5762.836639,25002.82204,0.0000%,,
3,new mCherry,35901.94572,3562.732662,32339.18841,0.0000%,,
