"","Identifier_peak2","AUC_Values_peak2"
"1","wt",1003864.23351852
"2","wt",173453.946378354
"3","wt",231198.180133761
"4","wt",912134.0734319
"5","wt",87211.1906264075
"6","wt",397707.615521194
"7","wt",669249.338730963
"8","wt",702843.953365508
"9","wt",563037.917417637
"10","wt",443970.8287519
"11","wt",828103.972097243
"12","wt",217800.378774777
"13","wt",146610.927778493
"14","old mCherry",605204.996754051
"15","old mCherry",579216.731663657
"16","old mCherry",191575.985239738
"17","old mCherry",174861.787827743
"18","old mCherry",399987.510283793
"19","old mCherry",1663171.18944831
"20","old mCherry",60976.2444338307
"21","old mCherry",983793.75604227
"22","old mCherry",138991.393777979
"23","old mCherry",52021.0126789057
"24","old mCherry",91624.3919797723
"25","new mCherry",34276.9820256204
"26","new mCherry",25187.6667698964
"27","new mCherry",29474.6241898889
"28","new mCherry",25002.8220441988
"29","new mCherry",32339.1884090707
"30","new mCherry",34001.8188468873
"31","new mCherry",22677.4847158582
"32","new mCherry",26541.4099623491
"33","old orai",113851.206688226
"34","old orai",1413880.69563016
"35","old orai",336520.588392465
"36","old orai",129997.635211564
"37","old orai",1212960.44478928
"38","new orai",98940.5343107733
"39","new orai",156542.505169787
"40","new orai",171112.992860391
"41","new orai",266191.937654769
"42","new orai",62667.8094531273
"43","new orai",37600.5335952848
"44","stim",707692.443975625
"45","stim",1257766.5447827
"46","stim",3042974.05602177
"47","stim",819161.702114898
"48","stim",1243983.59659755
"49","stim",1757102.44762858
"50","stim",626791.45843567
"51","stim",786986.879191751
"52","stim",624622.206001865
"53","stim",386761.317115088
"54","best2",309332.100363837
"55","best2",475852.80777187
"56","best2",282830.557154496
"57","best2",180832.203955309
"58","best2",49991.5650810412
"59","best2",518601.926596983
"60","best2",142569.284101915
"61","best2",559218.641084596
"62","best2",424424.955809111
"63","best2",487082.596050099
"64","best2",888518.082171601
"65","best2",117822.267757902
"66","best2",240867.828944056
"67","SERCA",87329.0272934487
"68","SERCA",94654.7993879159
"69","SERCA",68389.9996167671
"70","SERCA",56688.6457674106
"71","SERCA",70867.3713025987
"72","SERCA",77045.017762843
"73","SERCA",64622.7536353949
"74","SERCA",64824.2558180435
"75","SERCA-mCherry",94917.1029260174
"76","SERCA-mCherry",90459.7511260543
"77","SERCA-mCherry",76673.160949019
"78","SERCA-mCherry",83736.9560636742
"79","SERCA-mCherry",72063.4196707285
"80","SERCA-mCherry",68721.055715488
